Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Venue,Result,CovidPeriod
E0,2015-01-17,Aston Villa,Liverpool,0,2,A,2014-15,Away,Win,Pre-COVID
E0,2015-01-31,Liverpool,West Ham,2,0,H,2014-15,Home,Win,Pre-COVID
E0,2015-02-22,Southampton,Liverpool,0,2,A,2014-15,Away,Win,Pre-COVID
E0,2015-03-16,Swansea,Liverpool,0,1,A,2014-15,Away,Win,Pre-COVID
E0,2015-03-22,Liverpool,Man United,1,2,A,2014-15,Home,Loss,Pre-COVID
E0,2015-04-13,Liverpool,Newcastle,2,0,H,2014-15,Home,Win,Pre-COVID
E0,2015-04-25,West Brom,Liverpool,0,0,D,2014-15,Away,Draw,Pre-COVID
E0,2015-04-28,Hull,Liverpool,1,0,H,2014-15,Away,Loss,Pre-COVID
E0,2015-05-16,Liverpool,Crystal Palace,1,3,A,2014-15,Home,Loss,Pre-COVID
E0,2015-05-24,Stoke,Liverpool,6,1,H,2014-15,Away,Loss,Pre-COVID
E0,2015-08-17,Liverpool,Bournemouth,1,0,H,2015-16,Home,Win,Pre-COVID
E0,2015-08-24,Arsenal,Liverpool,0,0,D,2015-16,Away,Draw,Pre-COVID
E0,2015-08-29,Liverpool,West Ham,0,3,A,2015-16,Home,Loss,Pre-COVID
E0,2015-09-20,Liverpool,Norwich,1,1,D,2015-16,Home,Draw,Pre-COVID
E0,2015-09-26,Liverpool,Aston Villa,3,2,H,2015-16,Home,Win,Pre-COVID
E0,2015-10-17,Tottenham,Liverpool,0,0,D,2015-16,Away,Draw,Pre-COVID
E0,2015-10-25,Liverpool,Southampton,1,1,D,2015-16,Home,Draw,Pre-COVID
E0,2015-10-31,Chelsea,Liverpool,1,3,A,2015-16,Away,Win,Pre-COVID
E0,2015-11-21,Man City,Liverpool,1,4,A,2015-16,Away,Win,Pre-COVID
E0,2015-11-29,Liverpool,Swansea,1,0,H,2015-16,Home,Win,Pre-COVID
E0,2015-12-13,Liverpool,West Brom,2,2,D,2015-16,Home,Draw,Pre-COVID
E0,2015-12-20,Watford,Liverpool,3,0,H,2015-16,Away,Loss,Pre-COVID
