Team,Metric,PerMatch
LIV,xGpm,2.4571428571428577
AVL,xGpm,1.7
EVE,xGpm,1.6428571428571428
TOT,xGpm,1.8857142857142857
LEE,xGpm,1.657142857142857
CHE,xGpm,1.4285714285714286
NEW,xGpm,1.1714285714285713
BHA,xGpm,1.3
WOL,xGpm,0.9000000000000001
SHU,xGpm,0.9428571428571428
FUL,xGpm,1.1428571428571428
SOU,xGpm,1.1
WHU,xGpm,1.3285714285714287
MUN,xGpm,1.1500000000000001
ARS,xGpm,1.0999999999999999
WBA,xGpm,0.5571428571428572
LEI,xGpm,1.7
MCI,xGpm,1.3833333333333335
CRY,xGpm,0.9714285714285715
BUR,xGpm,0.85
LIV,xGApm,1.4285714285714286
AVL,xGApm,1.3499999999999999
EVE,xGApm,1.1857142857142857
TOT,xGApm,1.1285714285714286
LEE,xGApm,1.9142857142857144
CHE,xGApm,1.2
NEW,xGApm,1.457142857142857
BHA,xGApm,1.0999999999999999
WOL,xGApm,1.0285714285714287
SHU,xGApm,1.4285714285714286
FUL,xGApm,1.542857142857143
SOU,xGApm,1.1428571428571428
WHU,xGApm,1.1285714285714286
MUN,xGApm,1.6000000000000003
ARS,xGApm,1.1857142857142857
WBA,xGApm,1.7714285714285716
LEI,xGApm,1.0714285714285714
MCI,xGApm,1.1833333333333333
CRY,xGApm,1.457142857142857
BUR,xGApm,1.0833333333333333
