LeadingTeam,sum,count,ConversionRate
Arsenal,325,385,84.4155844155844
Aston Villa,168,243,69.1358024691358
Birmingham,46,60,76.66666666666667
Blackburn,88,119,73.94957983193278
Blackpool,7,10,70.0
Bolton,78,106,73.58490566037736
Bournemouth,54,77,70.12987012987013
Bradford,3,10,30.0
Brentford,30,41,73.17073170731707
Brighton,56,82,68.29268292682927
Burnley,49,69,71.01449275362319
Cardiff,5,7,71.42857142857143
Charlton,53,70,75.71428571428571
Chelsea,342,410,83.41463414634146
Coventry,7,11,63.63636363636363
Crystal Palace,81,109,74.31192660550458
Derby,15,20,75.0
Everton,184,253,72.72727272727273
Fulham,113,160,70.625
Huddersfield,8,12,66.66666666666666
Hull,18,35,51.42857142857142
Ipswich,17,26,65.38461538461539
Leeds,53,70,75.71428571428571
Leicester,93,123,75.60975609756098
Liverpool,341,390,87.43589743589743
Luton,4,9,44.44444444444444
Man City,340,396,85.85858585858585
Man United,360,412,87.37864077669903
Middlesbrough,73,102,71.56862745098039
Newcastle,183,243,75.30864197530865
Norwich,29,45,64.44444444444444
Nott'm Forest,20,31,64.51612903225806
Portsmouth,36,54,66.66666666666666
QPR,12,18,66.66666666666666
Reading,17,26,65.38461538461539
Sheffield United,20,27,74.07407407407408
Southampton,102,163,62.57668711656442
Stoke,62,89,69.66292134831461
Sunderland,70,114,61.40350877192983
Swansea,41,58,70.6896551724138
Tottenham,253,322,78.57142857142857
Watford,37,54,68.51851851851852
West Brom,56,93,60.215053763440864
West Ham,162,226,71.68141592920354
Wigan,43,69,62.31884057971014
Wolves,62,91,68.13186813186813
