date,Liverpool Goals,Opponent Goals
2019-08-09 20:00:00,4,1
2019-08-17 15:00:00,2,1
2019-08-24 17:30:00,3,1
2019-08-31 17:30:00,3,0
2019-09-14 11:30:00,3,1
2019-09-22 15:30:00,2,1
2019-09-28 11:30:00,1,0
2019-10-05 15:00:00,2,1
2019-10-20 16:30:00,1,1
2019-10-27 16:30:00,2,1
2019-11-02 15:00:00,2,1
2019-11-10 16:30:00,3,1
2019-11-23 15:00:00,2,1
2019-11-30 15:00:00,2,1
2019-12-04 20:15:00,5,2
2019-12-07 15:00:00,3,0
2019-12-14 12:30:00,2,0
2020-01-29 19:45:00,2,0
2019-12-26 20:00:00,4,0
2019-12-29 16:30:00,1,0
2020-01-02 20:00:00,2,0
2020-01-11 17:30:00,1,0
2020-01-19 16:30:00,2,0
2020-01-23 20:00:00,2,1
2020-02-01 15:00:00,4,0
2020-02-15 17:30:00,1,0
2020-02-24 20:00:00,3,2
2020-02-29 17:30:00,0,3
2020-03-07 12:30:00,2,1
2020-06-21 18:00:00,0,0
2020-06-24 19:15:00,4,0
2020-07-02 19:15:00,0,4
2020-07-05 15:30:00,2,0
2020-07-08 19:15:00,3,1
2020-07-11 14:00:00,1,1
2020-07-15 19:15:00,1,2
2020-07-22 19:15:00,5,3
2020-07-26 15:00:00,3,1
