Season,Venue,Result,Metric,Value
2000/01,Home,Win,Fouls,16
2000/01,Away,Loss,Fouls,45
2000/01,Away,Draw,Fouls,13
2000/01,Home,Win,Fouls,20
2000/01,Home,Win,Fouls,34
2000/01,Away,Draw,Fouls,18
2000/01,Home,Draw,Fouls,32
2000/01,Away,Loss,Fouls,28
2000/01,Away,Win,Fouls,31
2000/01,Home,Win,Fouls,18
2000/01,Home,Win,Fouls,20
2000/01,Away,Loss,Fouls,36
2000/01,Home,Win,Fouls,22
2000/01,Away,Loss,Fouls,24
2000/01,Away,Loss,Fouls,32
2000/01,Home,Win,Fouls,19
2000/01,Home,Loss,Fouls,26
2000/01,Away,Win,Fouls,21
2000/01,Home,Win,Fouls,32
2000/01,Away,Loss,Fouls,16
2000/01,Home,Win,Fouls,13
2000/01,Away,Win,Fouls,17
2000/01,Home,Draw,Fouls,19
2000/01,Away,Draw,Fouls,30
2000/01,Home,Win,Fouls,15
2000/01,Away,Draw,Fouls,40
2000/01,Away,Loss,Fouls,16
2000/01,Home,Draw,Fouls,20
2000/01,Home,Win,Fouls,16
2000/01,Away,Draw,Fouls,25
2000/01,Home,Loss,Fouls,35
2000/01,Away,Win,Fouls,34
2000/01,Home,Win,Fouls,23
2000/01,Away,Win,Fouls,26
2000/01,Away,Win,Fouls,24
2000/01,Home,Win,Fouls,21
2000/01,Home,Draw,Fouls,35
2000/01,Away,Win,Fouls,20
2001/02,Home,Win,Fouls,25
2001/02,Away,Loss,Fouls,24
2001/02,Home,Loss,Fouls,33
2001/02,Away,Win,Fouls,29
2001/02,Home,Win,Fouls,21
2001/02,Away,Win,Fouls,37
2001/02,Home,Draw,Fouls,25
2001/02,Away,Win,Fouls,24
2001/02,Away,Win,Fouls,25
2001/02,Home,Win,Fouls,22
2001/02,Away,Draw,Fouls,27
2001/02,Home,Win,Fouls,21
2001/02,Away,Win,Fouls,23
2001/02,Home,Win,Fouls,17
2001/02,Home,Draw,Fouls,28
2001/02,Away,Loss,Fouls,25
2001/02,Home,Loss,Fouls,32
2001/02,Away,Win,Fouls,19
2001/02,Away,Draw,Fouls,13
2001/02,Home,Draw,Fouls,23
2001/02,Away,Loss,Fouls,19
2001/02,Away,Draw,Fouls,31
2001/02,Home,Draw,Fouls,27
2001/02,Away,Win,Fouls,31
2001/02,Home,Win,Fouls,30
2001/02,Away,Win,Fouls,23
2001/02,Away,Win,Fouls,6
2001/02,Home,Draw,Fouls,22
2001/02,Away,Win,Fouls,27
2001/02,Home,Win,Fouls,21
2001/02,Away,Win,Fouls,22
2001/02,Home,Win,Fouls,30
2001/02,Home,Win,Fouls,16
2001/02,Away,Win,Fouls,21
2001/02,Home,Win,Fouls,24
2001/02,Away,Loss,Fouls,20
2001/02,Home,Win,Fouls,21
2001/02,Home,Win,Fouls,18
2002/03,Away,Win,Fouls,14
2002/03,Home,Win,Fouls,19
