GW,Home,Away,xG_Home,xG_Away,G_Home,G_Away,GD,Pts_Home,Pts_Away
1,FUL,ARS,0.2,1.8,0.0,3.0,-3.0,0,3
1,CRY,SOU,0.7,0.8,1.0,0.0,1.0,3,0
1,LIV,LEE,3.3,0.6,4.0,3.0,1.0,3,0
1,WHU,NEW,1.1,1.5,0.0,2.0,-2.0,0,3
1,WBA,LEI,0.5,2.2,0.0,3.0,-3.0,0,3
1,TOT,EVE,1.0,1.4,0.0,1.0,-1.0,0,3
1,SHU,WOL,0.6,1.1,0.0,2.0,-2.0,0,3
1,BHA,CHE,1.4,1.2,1.0,3.0,-2.0,0,3
2,EVE,WBA,3.4,0.3,5.0,2.0,3.0,3,0
2,LEE,FUL,1.7,1.8,4.0,3.0,1.0,3,0
2,MUN,CRY,1.1,1.6,1.0,3.0,-2.0,0,3
2,ARS,WHU,1.4,1.9,2.0,1.0,1.0,3,0
2,SOU,TOT,1.5,2.5,2.0,5.0,-3.0,0,3
2,NEW,BHA,0.5,1.6,0.0,3.0,-3.0,0,3
2,CHE,LIV,1.0,2.6,0.0,2.0,-2.0,0,3
2,LEI,BUR,1.4,1.9,4.0,2.0,2.0,3,0
2,AVL,SHU,1.0,0.9,1.0,0.0,1.0,3,0
2,WOL,MCI,1.0,1.9,1.0,3.0,-2.0,0,3
3,BHA,MUN,2.4,1.1,2.0,3.0,-1.0,0,3
3,CRY,EVE,0.4,2.0,1.0,2.0,-1.0,0,3
3,WBA,CHE,1.0,2.2,3.0,3.0,0.0,1,1
3,BUR,SOU,0.5,0.6,0.0,1.0,-1.0,0,3
3,SHU,LEE,1.6,1.6,0.0,1.0,-1.0,0,3
3,TOT,NEW,2.3,1.0,1.0,1.0,0.0,1,1
3,MCI,LEI,0.9,2.6,2.0,5.0,-3.0,0,3
3,WHU,WOL,1.6,0.5,4.0,0.0,4.0,3,0
3,FUL,AVL,0.7,1.6,0.0,3.0,-3.0,0,3
3,LIV,ARS,3.0,1.2,3.0,1.0,2.0,3,0
4,CHE,CRY,2.5,0.1,4.0,0.0,4.0,3,0
4,EVE,BHA,1.8,1.2,4.0,2.0,2.0,3,0
4,LEE,MCI,1.7,1.5,1.0,1.0,0.0,1,1
4,NEW,BUR,2.0,0.6,3.0,1.0,2.0,3,0
4,LEI,WHU,0.4,1.6,0.0,3.0,-3.0,0,3
4,SOU,WBA,1.2,0.1,2.0,0.0,2.0,3,0
4,ARS,SHU,0.4,0.2,2.0,1.0,1.0,3,0
4,WOL,FUL,1.2,0.7,1.0,0.0,1.0,3,0
4,MUN,TOT,0.9,3.8,1.0,6.0,-5.0,0,3
4,AVL,LIV,3.9,1.8,7.0,2.0,5.0,3,0
