index,HomeLoss,AwayLoss
Arsenal,57,130
Aston Villa,128,187
Birmingham,36,72
Blackburn,62,102
Blackpool,9,10
Bolton,63,111
Bournemouth,57,81
Bradford,8,14
Brentford,23,36
Brighton,45,67
Burnley,75,94
Cardiff,20,26
Charlton,45,63
Chelsea,60,129
Coventry,8,12
Crystal Palace,101,113
Derby,27,42
Everton,129,200
Fulham,118,177
Huddersfield,22,25
Hull,42,59
Ipswich,24,29
Leeds,47,63
Leicester,86,119
Liverpool,50,135
Luton,11,13
Man City,85,145
Man United,69,120
Middlesbrough,62,99
Newcastle,121,213
Norwich,57,85
Nott'm Forest,18,30
Portsmouth,45,75
QPR,24,42
Reading,22,37
Sheffield United,38,51
Southampton,115,162
Stoke,55,100
Sunderland,110,156
Swansea,45,73
Tottenham,105,187
Watford,57,82
West Brom,104,132
West Ham,142,211
Wigan,59,84
Wolves,82,106
