level_0,index,HomeWins,HomeDraws,AwayWins,AwayDraws
0,Arsenal,314,97,220,119
1,Aston Villa,165,119,114,112
2,Birmingham,48,46,23,33
3,Blackburn,85,57,53,49
4,Blackpool,5,5,5,4
5,Bolton,79,62,50,45
6,Bournemouth,54,39,40,30
7,Bradford,4,7,1,4
8,Brentford,31,21,22,16
9,Brighton,52,54,39,44
10,Burnley,54,42,34,43
11,Cardiff,11,7,6,6
12,Charlton,53,30,30,37
13,Chelsea,299,110,234,105
14,Coventry,4,7,4,3
15,Crystal Palace,82,61,67,63
16,Derby,14,16,5,10
17,Everton,223,119,125,142
18,Fulham,142,75,57,102
19,Huddersfield,8,8,4,9
20,Hull,29,24,12,24
21,Ipswich,18,13,15,12
22,Leeds,48,36,44,23
23,Leicester,98,61,66,56
24,Liverpool,307,110,223,113
25,Luton,4,4,2,4
26,Man City,293,72,207,98
27,Man United,318,82,234,115
28,Middlesbrough,68,57,36,50
29,Newcastle,204,105,111,107
30,Norwich,39,35,15,31
31,Nott'm Forest,22,15,14,12
32,Portsmouth,50,33,25,30
33,QPR,15,18,7,8
34,Reading,23,12,9,11
35,Sheffield United,24,14,10,15
36,Southampton,113,90,73,81
37,Stoke,81,54,35,55
38,Sunderland,81,75,46,64
39,Swansea,51,37,31,29
40,Tottenham,275,89,165,117
41,Watford,40,36,27,24
42,West Brom,75,65,41,72
43,West Ham,170,105,102,103
44,Wigan,48,45,37,31
45,Wolves,78,44,48,52
